"","last_train","model","DRPS","Coverage","DRPS_rank","Coverage_rank"
"94",482,"Average NDVI based model",69.571133,1,1,1.5
"95",483,"Latent NDVI based model",52.422355,1,1,1.5
"96",483,"Average NDVI based model",74.35613925,1,2,1.5
"97",484,"Latent NDVI based model",56.23423025,1,1,1
"98",484,"Average NDVI based model",81.45618975,0.916666666666667,2,2
"99",485,"Latent NDVI based model",66.50114325,1,1,1
"100",485,"Average NDVI based model",96.1871985,0.916666666666667,2,2
"101",486,"Latent NDVI based model",80.39988775,0.916666666666667,1,1
"102",486,"Average NDVI based model",163.69348925,0.833333333333333,2,2
"103",487,"Latent NDVI based model",85.57617925,0.916666666666667,1,1
"104",487,"Average NDVI based model",181.02494975,0.833333333333333,2,2
"105",488,"Latent NDVI based model",88.14056475,0.916666666666667,1,1
"106",488,"Average NDVI based model",198.70945,0.833333333333333,2,2
"107",489,"Latent NDVI based model",179.87158775,0.75,1,1.5
"108",489,"Average NDVI based model",265.4171285,0.75,2,1.5
"109",490,"Latent NDVI based model",327.1424865,0.333333333333333,2,2
"110",490,"Average NDVI based model",267.9960315,0.666666666666667,1,1
"111",491,"Latent NDVI based model",381.02870275,0.25,2,2
"112",491,"Average NDVI based model",261.3715685,0.833333333333333,1,1
"113",492,"Latent NDVI based model",388.2883755,0.166666666666667,2,2
"114",492,"Average NDVI based model",241.70121975,0.75,1,1
"115",493,"Latent NDVI based model",346.35454675,0.333333333333333,2,2
"116",493,"Average NDVI based model",206.115845,0.916666666666667,1,1
"117",494,"Latent NDVI based model",80.98990625,1,1,1.5
"118",494,"Average NDVI based model",150.5097665,1,2,1.5
"119",495,"Latent NDVI based model",164.54558975,1,2,1.5
"120",495,"Average NDVI based model",135.077652,1,1,1.5
