"","model","DRPS","Coverage","last_train","DRPS_rank","Coverage_rank"
"106","2_sources",48.4315916666667,0.583333333333333,276,1,4
"107","3_sources",65.5977090277778,1,276,3,2
"108","4_sources",67.6763506944445,1,276,4,2
"109","1_source",45.7179215277778,0.583333333333333,282,3,4
"110","2_sources",39.7114590277778,1,282,2,1.5
"111","3_sources",34.3201736111111,0.75,282,1,3
"112","4_sources",50.0688493055556,1,282,4,1.5
"113","1_source",28.7228326388889,1,285,2,2.5
"114","2_sources",28.3353708333333,1,285,1,2.5
"115","3_sources",38.9105347222222,1,285,3,2.5
"116","4_sources",58.4900479166667,1,285,4,2.5
"117","1_source",41.2120305555556,0.916666666666667,286,3,3
"118","2_sources",39.1609243055556,1,286,2,1.5
"119","3_sources",53.1411819444444,0.5,286,4,4
"120","4_sources",31.0632097222222,1,286,1,1.5
"121","1_source",30.2712388888889,1,288,1,2.5
"122","2_sources",44.3088381944444,1,288,4,2.5
"123","3_sources",38.6595652777778,1,288,3,2.5
"124","4_sources",32.6712930555556,1,288,2,2.5
"125","1_source",50.4467784722222,0.916666666666667,289,1,3.5
"126","2_sources",50.8035298611111,1,289,2,1.5
"127","3_sources",56.5812868055556,1,289,3,1.5
"128","4_sources",83.9727451388889,0.916666666666667,289,4,3.5
"129","1_source",50.0214006944444,1,293,4,2
"130","2_sources",41.1133763888889,0.666666666666667,293,2,4
"131","3_sources",43.68979375,1,293,3,2
"132","4_sources",39.2192138888889,1,293,1,2
"133","1_source",102.530534722222,1,295,4,2.5
"134","2_sources",48.8161347222222,1,295,1,2.5
"135","3_sources",72.0638506944444,1,295,3,2.5
"136","4_sources",52.9291479166667,1,295,2,2.5
"137","1_source",84.481725,0.916666666666667,297,3,1.5
"138","2_sources",45.5787701388889,0.916666666666667,297,1,1.5
"139","3_sources",60.1995354166667,0.833333333333333,297,2,3
"140","4_sources",146.6264375,0.75,297,4,4
"141","1_source",122.968797222222,1,298,2,1.5
"142","2_sources",68.3796527777778,1,298,1,1.5
"143","3_sources",138.803688194444,0.833333333333333,298,4,4
"144","4_sources",129.548463194444,0.916666666666667,298,3,3
"145","1_source",161.473643055556,0.833333333333333,301,3,2.5
"146","2_sources",169.949735416667,0.833333333333333,301,4,2.5
"147","3_sources",53.0067972222222,0.5,301,1,4
"148","4_sources",63.3832048611111,1,301,2,1
"149","1_source",209.585715972222,0.833333333333333,305,2,2.5
"150","2_sources",147.710705555556,0.833333333333333,305,1,2.5
"151","3_sources",241.149970138889,0.833333333333333,305,4,2.5
"152","4_sources",224.796111111111,0.833333333333333,305,3,2.5
"153","1_source",43.9063631944444,0.666666666666667,306,1,4
"154","2_sources",209.6392125,0.833333333333333,306,4,2.5
"155","3_sources",138.485309027778,0.833333333333333,306,2,2.5
"156","4_sources",194.952385416667,0.916666666666667,306,3,1
"157","1_source",168.068377777778,0.833333333333333,307,3,3.5
"158","2_sources",233.26514375,0.833333333333333,307,4,3.5
"159","3_sources",30.0320381944444,1,307,1,1.5
"160","4_sources",40.806875,1,307,2,1.5
"161","1_source",99.5369534722222,0.833333333333333,308,3,3.5
"162","2_sources",114.014727083333,0.916666666666667,308,4,1.5
